"No.","Time","Source","Destination","Protocol","Length","Info"
"108","99.595478019","192.168.254.200","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.251 for any sources"
"109","99.599705251","Netgear_80:bf:16","IEEE-1905.1-Control","ieee1905","60","Topology notification"
"110","99.648338833","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"111","100.139245481","Netgear_80:bf:19","IEEE-1905.1-Control","ieee1905","60","Topology notification"
"112","100.294720083","192.168.254.87","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.251 for any sources"
"113","100.600652107","Netgear_80:bf:16","IEEE-1905.1-Control","ieee1905","60","Topology notification"
"114","101.239654916","Netgear_80:bf:19","IEEE-1905.1-Control","ieee1905","60","Topology notification"
"115","101.649264818","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"116","103.650342195","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"117","105.651377697","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"118","106.053428230","Netgear_80:bf:16","IEEE-1905.1-Control","ieee1905","65","Topology discovery"
"119","106.152647658","Netgear_80:bf:16","LLDP_Multicast","LLDP","60","MA/08:36:c9:80:bf:16 MA/0a:36:c9:80:bf:17 180 "
"120","107.652282060","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"121","109.653374581","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"122","111.654339880","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"123","113.655290234","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"124","115.656370183","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"125","117.657243922","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"126","118.013836524","Netgear_6d:60:fb","Broadcast","ARP","60","Who has 192.168.254.125? Tell 192.168.254.87"
"127","118.478296598","Netgear_80:bf:19","IEEE-1905.1-Control","ieee1905","60","Topology notification"
"128","119.548868307","Netgear_80:bf:19","IEEE-1905.1-Control","ieee1905","60","Topology notification"
"129","119.577867016","Netgear_80:bf:16","IEEE-1905.1-Control","ieee1905","60","Topology notification"
"130","119.660396500","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"131","120.429074951","Netgear_80:bf:19","IEEE-1905.1-Control","ieee1905","60","Topology notification"
"132","121.659218201","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"133","123.660374238","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"134","125.661199878","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"135","127.662248780","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"136","129.663148504","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"137","131.029366852","Netgear_80:bf:19","IEEE-1905.1-Control","ieee1905","65","Topology discovery"
"138","131.128954124","Netgear_80:bf:19","LLDP_Multicast","LLDP","60","MA/08:36:c9:80:bf:19 MA/0a:36:c9:80:bf:17 180 "
"139","131.664308429","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"140","133.665227198","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"141","133.977359549","192.168.254.173","192.168.254.45","NBNS","92","Name query NBSTAT *<00><00><00><00><00><00><00><00><00><00><00><00><00><00><00>"
"142","133.977390613","192.168.254.45","192.168.254.173","ICMP","120","Destination unreachable (Port unreachable)"
"143","135.666107887","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"144","137.667152016","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"145","139.131545915","PcsCompu_12:5d:03","Netgear_80:bf:16","ARP","42","Who has 192.168.254.173? Tell 192.168.254.45"
"146","139.131974643","Netgear_80:bf:16","PcsCompu_12:5d:03","ARP","60","192.168.254.173 is at 08:36:c9:80:bf:16"
"147","139.668143099","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"148","141.669265875","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"149","143.670120341","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"150","145.671065792","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"151","146.459477325","192.168.254.22","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"152","146.459586675","fe80::40e:e623:a030:a8e5","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"153","146.464751984","Netgear_80:bf:16","IEEE-1905.1-Control","ieee1905","60","Topology notification"
"154","146.922153321","Netgear_80:bf:19","IEEE-1905.1-Control","ieee1905","60","Topology notification"
"155","147.672096983","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"156","148.325321521","192.168.254.22","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"157","149.674561684","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"158","151.586790864","Netgear_80:bf:16","IEEE-1905.1-Control","ieee1905","60","Topology notification"
"159","151.674116644","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"160","151.994875944","Netgear_80:bf:19","IEEE-1905.1-Control","ieee1905","60","Topology notification"
"161","152.041763026","Netgear_81:33:16","Broadcast","ARP","60","Who has 192.168.254.254? Tell 192.168.254.184"
"162","153.675027636","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"163","155.676059669","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"164","157.677032232","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"165","159.679035064","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"166","161.062788501","32:4e:d0:cf:4d:a6","Broadcast","ARP","60","Who has 192.168.254.254? Tell 192.168.254.95"
"167","161.082777457","Netgear_80:bf:16","IEEE-1905.1-Control","ieee1905","65","Topology discovery"
"168","161.179946870","Netgear_80:bf:16","LLDP_Multicast","LLDP","60","MA/08:36:c9:80:bf:16 MA/0a:36:c9:80:bf:17 180 "
"169","161.678996334","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"170","163.680014698","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"171","165.680949719","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"172","167.681979485","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"173","169.686114225","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"174","171.686960257","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"175","173.685100971","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"176","175.685938612","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
